Org,Data,UID,Org type,Org Type 2,City/Town,Postcode,lat,long,Country,Region,Region Name,County,County Name,Local Authority,Local Authority Name,Travel to Work Area,Travel to Work Area Name,Real Name,Website,Political - 2019-23,Political - 2023 - ,Notes,Slug,Scheme Provider 1,Scheme Provider 2,Scheme Provider 3 ,Scheme Provider 4,Scheme Max,Scheme Max2,Average Uptake Rank,Average Uptake Score,Average Uptake Data Weakness,Org Rank Type,Org Type 2,Assistance Rank,Org Type Assistance Rank,Org Type Assistance Rank 2,Assistance Score,Final Rank,Org Type Final Rank,Org Type Final Rank2,Final Score,Assistance Rating,Final Rating,Fail to respond,Cycle to work uptake data comment,C2W Scheme,Schemes,Schemes part 2,Max Value,Max Value Flavour,secure cycle parking,Bike Hubs,Changing/shower,drying room,,Learn to Ride,Cycle training,team guided bike rides,1 to 1 support for route planning,Bike loan/hire scheme,Ebike Hire/Loan,pool bikes for work related business,Dr Bike / Maintinance Events,communal bike maintenance tools,Cycling Discounts,Bike user Allowance,Stated cycling milage scheme
Lead Employer Trust,1,202300001,NHS,Training Trust,Newcastle Upon Tyne,NE15 8NY,54.969713,-1.712365,England,E12000001,North East,E11000007,,E08000021,Newcastle upon Tyne,E30000245,Newcastle,North East and North Cumbria Lead Employer Trust,https://www.nenc-leademployertrust.nhs.uk/,,,LET is commissioned by Health Education England in the North East and North Cumbria (HEE NE) to employ all postgraduate doctors and postgraduate learners across the region for the duration of their training. Northumbria Healthcare NHS Foundation Trust is the LET for HEE NE,North-East-and-North-Cumbria-Lead-Employer-Trust-2023,Green Commute Initiative,Halfords,0,0,3500,1000,1,102.8511942,0,NHS,Hospitals,184,40,33,34.70377767,1,1,1,64.39083323,**,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme providers are,Green Commute Initiative and Halfords.,This organisation has a maximum cycle to work value of £3500.,,This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.",,"This organisation doesn't provide training, route guidance, or helps with organised rides to build cycling confidence.",,,,,,,,Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,,,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
University of Central Lancashire,1,202300002,Education,University,Preston,PR1 2HE,53.761338,-2.707384,England,E12000002,North West,E10000017,Lancashire,E07000123,Preston,E30000255,Preston,University of Central Lancashire,https://www.uclan.ac.uk/,,,,University-of-Central-Lancashire-2023,Cyclescheme,0,0,0,2000,0,238,14.45544554,0,University,,3,3,,89.17134757,2,1,,56.17839441,*****,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Cyclescheme.,This organisation has a maximum cycle to work value of £2000.,"While this limit shows they have recently reviewed the scheme, it suggests that the organisational group who did so does not have a broad understanding of bikes and ebikes on the market. This may affect who can reasonably ride to work, as they may not be able to afford the bike that will allow them to replace their car with a cargo bike, for example.",This organisation is one of the 36% of organisations to offer secure bike parking.,"They state that they also have bike hubs, which has facilities that are specifically designed to enable cycling. Only 3% of organisations offer this.","This organisation offers showers and changing rooms, like a third of organisations surveyed.",,The following are provided to help you gain confidence in cycling:,,• Training to help you be more confident on the road,,,• The oportunity to loan a bike for a short period to see how cycling can work for you.,,,Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,Communal tools are avalible for you to fix those minor cycling breakdowns.,Discounts are avalible to help employees cycle to work.,,"This is one of the 31% of organisations that does not pay milage to cyclists, ignoring the HMRC guidelines"
University of Bristol,1,202300003,Education,University,Bristol,BS8 1QU,51.457119,-2.607297,England,E12000009,South West,,,E06000023,"Bristol, City of",E30000180,Bristol,University of Bristol,https://www.bristol.ac.uk/,,,,University-of-Bristol-2023,Halfords,0,0,0,2500,0,49,30.89366697,0,University,,2,2,,90.6479058,3,2,,55.24621605,*****,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Halfords.,This organisation has a maximum cycle to work value of £2500.,"While this limit shows they have recently reviewed the scheme, it suggests that the organisational group who did so does not have a broad understanding of bikes and ebikes on the market. This may affect who can reasonably ride to work, as they may not be able to afford the bike that will allow them to replace their car with a cargo bike, for example.",This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.",,The following are provided to help you gain confidence in cycling:,,• Training to help you be more confident on the road,,,• The oportunity to loan a bike for a short period to see how cycling can work for you.,,,Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,,Discounts are avalible to help employees cycle to work.,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
University of Brighton,1,202300004,Education,University,Brighton,BN2 4AT,50.842454,-0.11917,England,E12000008,South East,,,E06000043,Brighton and Hove,E30000179,Brighton,University of Brighton,https://www.brighton.ac.uk/index.aspx,,,,University-of-Brighton-2023,Cyclescheme,0,0,0,3000,0,156,17.92079208,0,University,,7,5,,80.19890997,4,3,,53.64933926,*****,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Cyclescheme.,This organisation has a maximum cycle to work value of £3000.,,This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.","For those wet and windy days, this organisation is one of only 4% that offer a drying room for your gear.",The following are provided to help you gain confidence in cycling:,,• Training to help you be more confident on the road,,,• The oportunity to loan a bike for a short period to see how cycling can work for you.,,"If you're going out on buisness, this organisation has pool bikes you can borrow.",,Communal tools are avalible for you to fix those minor cycling breakdowns.,,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
South Wales FRS,1,202300005,Fire,,Llantrisant,CF72 8LX,51.552665,-3.395471,Wales,,,,,W06000016,Rhondda Cynon Taf,W22000024,Cardiff,South Wales Fire and Rescue Service,https://www.southwales-fire.gov.uk/,,,,South-Wales-Fire-and-Rescue-Service-2023,Halfords,0,0,0,3000,0,5,83.53960396,0,Fire Brigade / Organisation,,186,2,,34.70377767,5,1,,52.96928743,**,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Halfords.,This organisation has a maximum cycle to work value of £3000.,,This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.",,"This organisation doesn't provide training, route guidance, or helps with organised rides to build cycling confidence.",,,,,,,,Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,,,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
University of Edinburgh,1,202300006,Education,University,Edinburgh,EH8 9YL,55.947691,-3.187347,Scotland,,,,,S12000036,City of Edinburgh,S22000059,Edinburgh,University of Edinburgh,https://www.ed.ac.uk/,,,,University-of-Edinburgh-2023,Halfords,0,0,0,15000,0,287,12.37623762,0,University,,1,1,,100.0879682,6,4,,51.9790739,*****,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Halfords.,This organisation has a maximum cycle to work value of £15000.,,This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.",,The following are provided to help you gain confidence in cycling:,• Classes to help you learn to ride,• Training to help you be more confident on the road,• Group guided bike rides,• Support or tools to enable you to find safer routes to work,• The oportunity to loan a bike for a short period to see how cycling can work for you.,• The oportunity to loan an ebike to see how that could fit into your life.,,Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,Communal tools are avalible for you to fix those minor cycling breakdowns.,Discounts are avalible to help employees cycle to work.,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
Swansea University,1,202300007,Education,University,Swansea,SA1 8EN,51.6188,-3.879405,Wales,,,,,W06000012,Neath Port Talbot,W22000032,Swansea,Swansea University,https://www.swansea.ac.uk/,,,,Swansea-University-2023,Cycle Solutions,0,0,0,3000,0,95,23.52266555,0,University,,32,16,,61.80393073,7,5,,49.54456963,****,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Cycle Solutions.,This organisation has a maximum cycle to work value of £3000.,,"This organisation did not state they have secure bike storage, unlike 36% of organisations. This may mean they have no bike storage at all, or that there's a higher risk of bike theft.",,,,The following are provided to help you gain confidence in cycling:,,• Training to help you be more confident on the road,• Group guided bike rides,,• The oportunity to loan a bike for a short period to see how cycling can work for you.,• The oportunity to loan an ebike to see how that could fit into your life.,,Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,,Discounts are avalible to help employees cycle to work.,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
Gloucestershire County Council,1,202300008,Council,County council,Gloucester,GL1 2TG,51.86646,-2.248597,England,E12000009,South West,E10000013,Gloucestershire,E07000081,Gloucester,E30000209,Gloucester,Gloucestershire County Council,http://www.gloucestershire.gov.uk/,Conservative,Conservative,,Gloucestershire-County-Council-2023,Cyclescheme,0,0,0,2000,0,472,8.836633663,0,Council,County Council,9,1,1,78.34462511,8,1,1,49.29155143,****,*****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Cyclescheme.,This organisation has a maximum cycle to work value of £2000.,"While this limit shows they have recently reviewed the scheme, it suggests that the organisational group who did so does not have a broad understanding of bikes and ebikes on the market. This may affect who can reasonably ride to work, as they may not be able to afford the bike that will allow them to replace their car with a cargo bike, for example.",This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.","For those wet and windy days, this organisation is one of only 4% that offer a drying room for your gear.",The following are provided to help you gain confidence in cycling:,• Classes to help you learn to ride,• Training to help you be more confident on the road,• Group guided bike rides,• Support or tools to enable you to find safer routes to work,,,"If you're going out on buisness, this organisation has pool bikes you can borrow.",Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,,,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
University College London Hospitals NHS Foundation Trust,1,202300009,NHS,Accute Trust,London,NW1 2PG,51.525735,-0.137409,England,E12000007,London,E13000001,,E09000007,Camden,E30000234,London,University College London Hospitals NHS Foundation Trust,https://www.uclh.nhs.uk/,,,,University-College-London-Hospitals-NHS-Foundation-Trust-2023,Vivup,0,0,0,5000,0,281,12.58250825,0,NHS,Hospitals,20,3,2,69.86377906,9,2,2,47.04332098,****,****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Vivup.,This organisation has a maximum cycle to work value of £5000.,,This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.",,The following are provided to help you gain confidence in cycling:,,,,• Support or tools to enable you to find safer routes to work,• The oportunity to loan a bike for a short period to see how cycling can work for you.,,,Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,Communal tools are avalible for you to fix those minor cycling breakdowns.,,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
Meteorological Office,1,202300010,Central Gov,Defense,Exeter,EX1 3PB,50.727622,-3.475646,England,E12000009,South West,E10000008,Devon,E07000041,Exeter,E30000206,Exeter,Met Office,https://www.metoffice.gov.uk/,,,,Met-Office-2023,Cycle Solutions,0,0,0,3000,0,97,23.34158416,0,Central Government,,11,1,,77.90972267,10,1,,46.33421252,****,****,,,"Like 95% of surveyed organisations, a cycle to work scheme is avalible for staff.",This organisation's scheme provider is ,Cycle Solutions.,This organisation has a maximum cycle to work value of £3000.,,This organisation is one of the 36% of organisations to offer secure bike parking.,,"This organisation offers showers and changing rooms, like a third of organisations surveyed.",,The following are provided to help you gain confidence in cycling:,,• Training to help you be more confident on the road,,• Support or tools to enable you to find safer routes to work,• The oportunity to loan a bike for a short period to see how cycling can work for you.,• The oportunity to loan an ebike to see how that could fit into your life.,"If you're going out on buisness, this organisation has pool bikes you can borrow.",Local bike maintinance events such as Dr Bike sessions are run by this organisation to help you keep your bike in good working order.,Communal tools are avalible for you to fix those minor cycling breakdowns.,,,"Like 69% of organisations surveyed, this organisation follows HMRC guidance, providing a milage rate for those who cycle as part of their work"
